sample,dataset,xsec_pb,xsec_source,target_fraction,max_selected_events,input_xrootd_prefix
DYJetsToLL_Pt50to100,/DYJetsToLL_LHEFilterPtZ-50To100_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,387.13,Professor-supplied DY pT-bin cross section,0.1,2000000,root://cms-xrd-global.cern.ch//
DYJetsToLL_Pt100to250,/DYJetsToLL_LHEFilterPtZ-100To250_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,89.39,Professor-supplied DY pT-bin cross section,0.1,2000000,root://cms-xrd-global.cern.ch//
DYJetsToLL_Pt250to400,/DYJetsToLL_LHEFilterPtZ-250To400_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,3.43,Professor-supplied DY pT-bin cross section,0.1,2000000,root://cms-xrd-global.cern.ch//
DYJetsToLL_Pt400to650,/DYJetsToLL_LHEFilterPtZ-400To650_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,0.464,Professor-supplied DY pT-bin cross section,0.1,2000000,root://cms-xrd-global.cern.ch//
DYJetsToLL_Pt650toInf,/DYJetsToLL_LHEFilterPtZ-650ToInf_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,0.0436,Professor-supplied DY pT-bin cross section,0.1,2000000,root://cms-xrd-global.cern.ch//
ST_tchannel_antitop,/ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,80.95,Professor-supplied inclusive parent cross section; no leptonic branching factor for InclusiveDecays dataset,0.1,2000000,root://cms-xrd-global.cern.ch//
ST_tchannel_top,/ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,136.02,Professor-supplied inclusive parent cross section; no leptonic branching factor for InclusiveDecays dataset,0.1,2000000,root://cms-xrd-global.cern.ch//
ST_tW_antitop,/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,35.6,Professor-supplied,0.1,2000000,root://cms-xrd-global.cern.ch//
ST_tW_top,/ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,35.6,Professor-supplied,0.1,2000000,root://cms-xrd-global.cern.ch//
WW_inclusive,/WW_TuneCP5_13TeV-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,75.8,CMS McM BTV-RunIISummer20UL18GEN-00001 version 1,0.1,2000000,root://cmsxrootd-site.fnal.gov//
WZ_inclusive,/WZ_TuneCP5_13TeV-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,27.6,CMS McM BTV-RunIISummer20UL18GEN-00002 version 1,0.1,2000000,root://cmsxrootd-site.fnal.gov//
ZZ_inclusive,/ZZ_TuneCP5_13TeV-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,10.32,CMS McM SUS-RunIISummer20UL18GEN-00021 version 1,0.1,2000000,root://cmsxrootd-site.fnal.gov//
