sample,type,input_dir,xsec_pb,sum_genweights,label,color,plot_scale,xsec_source,normalization_note,cutflow_valid,stack_group,stack_label
SingleMuon_Run2018A,data,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_20260724/singlemu2018a,1,1,Data,1,1,CMS data,Unit event weight after Golden JSON selection,1,Data,Data
SingleMuon_Run2018B,data,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_20260724/singlemu2018b,1,1,Data,1,1,CMS data,Unit event weight after Golden JSON selection,1,Data,Data
SingleMuon_Run2018C,data,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_20260724/singlemu2018c,1,1,Data,1,1,CMS data,Unit event weight after Golden JSON selection,1,Data,Data
SingleMuon_Run2018D_partial,data,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_20260724/singlemu2018d,1,1,Data,1,1,CMS data,Available partial Run2018D with one documented corrupt source omitted,1,Data,Data
QCD_HT300to500,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_qcd_20260726/qcd_ht300to500,347700,auto,QCD HT 300-500,867,1,BoostedHTT WeightCalculator.h XMass20,Deterministic 10 percent event tranche normalized to the full process cross section,1,QCD,QCD multijet
QCD_HT500to700,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_qcd_20260726/qcd_ht500to700,32100,auto,QCD HT 500-700,867,1,BoostedHTT WeightCalculator.h XMass20,Deterministic 10 percent event tranche normalized to the full process cross section,1,QCD,QCD multijet
QCD_HT700to1000,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_qcd_20260726/qcd_ht700to1000,6831,auto,QCD HT 700-1000,867,1,BoostedHTT WeightCalculator.h XMass20,Deterministic 10 percent event tranche normalized to the full process cross section,1,QCD,QCD multijet
QCD_HT1000to1500,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_qcd_20260726/qcd_ht1000to1500,1207,auto,QCD HT 1000-1500,867,1,BoostedHTT WeightCalculator.h XMass20,Deterministic 10 percent event tranche normalized to the full process cross section,1,QCD,QCD multijet
QCD_HT1500to2000,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_qcd_20260726/qcd_ht1500to2000,119.9,auto,QCD HT 1500-2000,867,1,BoostedHTT WeightCalculator.h XMass20,Deterministic 10 percent event tranche normalized to the full process cross section,1,QCD,QCD multijet
QCD_HT2000toInf,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_qcd_20260726/qcd_ht2000toinf,25.24,auto,QCD HT 2000-Inf,867,1,BoostedHTT WeightCalculator.h XMass20,Deterministic 10 percent event tranche normalized to the full process cross section,1,QCD,QCD multijet
WJets_HT100to200,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_20260724/wjets_ht100to200,1627.45,auto,W+jets HT 100-200,798,1,BoostedHTT WeightCalculator.h XMass20,1345 pb times 1.21,1,WJets,W+jets
WJets_HT200to400,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/cutflow_tightid_ht_20260724/wjets_ht200to400,435.237,auto,W+jets HT 200-400,798,1,BoostedHTT WeightCalculator.h XMass20,359.7 pb times 1.21,1,WJets,W+jets
