sample,type,input_dir,xsec_pb,sum_genweights,label,color,plot_scale,xsec_source,normalization_note,cutflow_valid,stack_group,stack_label
SingleMuon_Run2018A,data,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/singlemu2018a,1,1,Data,1,1,CMS data,Unit event weight after Golden JSON and HLT_Mu50 selection,1,Data,Data
SingleMuon_Run2018B,data,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/singlemu2018b,1,1,Data,1,1,CMS data,Unit event weight after Golden JSON and HLT_Mu50 selection,1,Data,Data
SingleMuon_Run2018C,data,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/singlemu2018c,1,1,Data,1,1,CMS data,Unit event weight after Golden JSON and HLT_Mu50 selection,1,Data,Data
SingleMuon_Run2018D_partial,data,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/singlemu2018d,1,1,Data,1,1,CMS data,Available Run2018D files with one documented corrupt source omitted,1,Data,Data
QCD_HT200to300,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/qcd_ht200to300,1712000,auto,QCD HT 200-300,867,1,BoostedHTT WeightCalculator.h XMass20,Simulation is used only for ABCD closure checks,1,QCD,QCD multijet
QCD_HT300to500,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/qcd_ht300to500,347700,auto,QCD HT 300-500,867,1,BoostedHTT WeightCalculator.h XMass20,Simulation is used only for ABCD closure checks,1,QCD,QCD multijet
QCD_HT500to700,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/qcd_ht500to700,32100,auto,QCD HT 500-700,867,1,BoostedHTT WeightCalculator.h XMass20,Simulation is used only for ABCD closure checks,1,QCD,QCD multijet
QCD_HT700to1000,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/qcd_ht700to1000,6831,auto,QCD HT 700-1000,867,1,BoostedHTT WeightCalculator.h XMass20,Simulation is used only for ABCD closure checks,1,QCD,QCD multijet
QCD_HT1000to1500,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/qcd_ht1000to1500,1207,auto,QCD HT 1000-1500,867,1,BoostedHTT WeightCalculator.h XMass20,Simulation is used only for ABCD closure checks,1,QCD,QCD multijet
QCD_HT1500to2000,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/qcd_ht1500to2000,119.9,auto,QCD HT 1500-2000,867,1,BoostedHTT WeightCalculator.h XMass20,Simulation is used only for ABCD closure checks,1,QCD,QCD multijet
QCD_HT2000toInf,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/qcd_ht2000toinf,25.24,auto,QCD HT 2000-Inf,867,1,BoostedHTT WeightCalculator.h XMass20,Simulation is used only for ABCD closure checks,1,QCD,QCD multijet
WJets_HT100to200,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/wjets_ht100to200,1343,auto,W+jets HT 100-200,798,1,Professor-provided value,No additional 1.21 k-factor,1,WJets,W+jets
WJets_HT200to400,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/wjets_ht200to400,359.6,auto,W+jets HT 200-400,798,1,Professor-provided value,No additional 1.21 k-factor,1,WJets,W+jets
WJets_HT400to600,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/wjets_ht400to600,48.85,auto,W+jets HT 400-600,798,1,Professor-provided value,No additional 1.21 k-factor,1,WJets,W+jets
WJets_HT600to800,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/wjets_ht600to800,12.05,auto,W+jets HT 600-800,798,1,Professor-provided value,No additional 1.21 k-factor,1,WJets,W+jets
WJets_HT800to1200,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/wjets_ht800to1200,5.501,auto,W+jets HT 800-1200,798,1,Professor-provided value,No additional 1.21 k-factor,1,WJets,W+jets
WJets_HT1200to2500,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/wjets_ht1200to2500,1.329,auto,W+jets HT 1200-2500,798,1,Professor-provided value,No additional 1.21 k-factor,1,WJets,W+jets
WJets_HT2500toInf,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/wjets_ht2500toinf,0.03216,auto,W+jets HT 2500-Inf,798,1,Professor-provided value,No additional 1.21 k-factor,1,WJets,W+jets
DYJetsToLL_Pt50to100,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/dy_pt50to100,387.13,auto,DY+jets pT 50-100,860,1,Professor-provided value,Deterministic event tranche normalized with processed generator weights,1,DY,DY+jets
DYJetsToLL_Pt100to250,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/dy_pt100to250,89.39,auto,DY+jets pT 100-250,860,1,Professor-provided value,Deterministic event tranche normalized with processed generator weights,1,DY,DY+jets
DYJetsToLL_Pt250to400,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/dy_pt250to400,3.43,auto,DY+jets pT 250-400,860,1,Professor-provided value,Deterministic event tranche normalized with processed generator weights,1,DY,DY+jets
DYJetsToLL_Pt400to650,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/dy_pt400to650,0.464,auto,DY+jets pT 400-650,860,1,Professor-provided value,Deterministic event tranche normalized with processed generator weights,1,DY,DY+jets
DYJetsToLL_Pt650toInf,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/dy_pt650toinf,0.0436,auto,DY+jets pT 650-Inf,860,1,Professor-provided value,Deterministic event tranche normalized with processed generator weights,1,DY,DY+jets
TTTo2L2Nu,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/ttto2l2nu,88.29,auto,t#bar{t} dilepton,600,1,831.76 pb times 0.1061,Existing approximately 10 percent file tranche,1,TTbar,t#bar{t}
TTToHadronic,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/tttohadronic,377.96,auto,t#bar{t} hadronic,600,1,831.76 pb times 0.4544,One documented corrupt source omitted,1,TTbar,t#bar{t}
TTToSemiLeptonic,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/tttosemileptonic,365.34,auto,t#bar{t} semileptonic,600,1,831.76 pb times 0.4392,Existing approximately 10 percent file tranche,1,TTbar,t#bar{t}
ST_tchannel_antitop,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/st_tchannel_antitop,80.95,auto,Single top t-channel antitop,416,1,Professor-provided inclusive value,InclusiveDecays dataset so no leptonic branching factor,1,SingleTop,Single top
ST_tchannel_top,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/st_tchannel_top,136.02,auto,Single top t-channel top,416,1,Professor-provided inclusive value,InclusiveDecays dataset so no leptonic branching factor,1,SingleTop,Single top
ST_tW_antitop,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/st_tw_antitop,35.6,auto,Single top tW antitop,416,1,Professor-provided value,Inclusive-decay sample,1,SingleTop,Single top
ST_tW_top,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/st_tw_top,35.6,auto,Single top tW top,416,1,Professor-provided value,Inclusive-decay sample,1,SingleTop,Single top
WW_inclusive,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/ww_inclusive,75.8,auto,WW inclusive,881,1,McM UL2018 generator cross section,Inclusive diboson sample requested by professor,1,Diboson,Diboson
WZ_inclusive,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/wz_inclusive,27.6,auto,WZ inclusive,881,1,McM UL2018 generator cross section,Inclusive diboson sample requested by professor,1,Diboson,Diboson
ZZ_inclusive,background,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/zz_inclusive,10.32,auto,ZZ inclusive,881,1,McM UL2018 generator cross section,Inclusive diboson sample requested by professor,1,Diboson,Diboson
ExoHiggs_8b,signal,/hdfs/store/user/pkhalili2/ML-MINIAOD-Processing/analysis/trigger_abcd_20260808/signal_8b,1,auto,8b signal (1 pb benchmark),632,1,Illustrative benchmark only,No physical signal cross section has been supplied,1,Signal,Signal
